Date,Open,High,Low,Close,Adj Close,Volume
25-11-14,5137.03418,5149.479004,5118.944824,5118.944824,5118.792969,51968200
26-11-14,5125.23877,5137.063965,5107.571777,5133.036133,5132.883789,48196500
27-11-14,5134.702148,5148.413086,5134.702148,5145.314941,5145.162109,53116900
28-11-14,5139.64209,5149.888184,5126.97998,5149.888184,5149.735352,57208800
01-12-14,5150.379883,5167.690918,5134.753906,5164.288086,5164.134766,44997300
02-12-14,5169.615234,5194.046875,5166.628906,5175.792969,5175.63916,49816800
03-12-14,5180.26123,5187.350098,5157.152832,5166.043945,5165.890625,46603500
04-12-14,5172.042969,5199.331055,5160.780762,5177.160156,5177.006348,48176700
05-12-14,5185.250977,5206.224121,5185.214844,5187.994141,5187.840332,39735600
08-12-14,5197.890137,5207.21582,5124.543945,5144.01416,5143.861328,51834200
09-12-14,5132.90918,5142.816895,5122.312012,5122.312012,5122.160156,49879300
10-12-14,5121.578125,5168.72998,5121.578125,5165.407227,5165.253906,43753000
11-12-14,5139.286133,5166.700195,5137.199219,5152.694824,5152.541992,45944000
12-12-14,5151.161133,5178.515137,5150.584961,5160.433105,5160.280273,51577700
15-12-14,5124.262207,5126.070801,5094.416016,5108.432129,5108.280273,66874600
16-12-14,5067.950195,5069.263184,5005.274902,5026.027832,5025.878418,67950500
17-12-14,5030.814941,5059.731934,5021.949219,5035.648926,5035.499512,54841000
18-12-14,5076.226074,5113.345215,5076.226074,5113.345215,5113.193359,63737700
19-12-14,5141.706055,5162.371094,5127.723145,5144.621094,5144.468262,66679000
22-12-14,5161.019043,5167.020996,5125.771973,5125.771973,5125.620117,60447700
23-12-14,5139.788086,5151.373047,5139.055176,5139.067871,5138.915039,41732000
24-12-14,5141.37793,5175.382813,5140.967773,5166.98291,5166.82959,36701800
29-12-14,5168.721191,5185.664063,5167.429199,5178.373047,5178.219238,31914700
30-12-14,5177.942871,5226.946777,5175.64209,5226.946777,5226.791504,46686400
02-01-15,5233.795898,5247.937988,5230.75,5242.769043,5242.613281,38133000
05-01-15,5229.684082,5233.660156,5206.285156,5219.995117,5219.840332,44846100
06-01-15,5186.204102,5194.803223,5169.060059,5169.060059,5168.90625,51516500
07-01-15,5175.554199,5207.375977,5174.795898,5207.118164,5206.963379,72088500
08-01-15,5218.399902,5230.179199,5208.993164,5211.828125,5211.67334,69163000
09-01-15,5226.887207,5240.237793,5212.279785,5216.665039,5216.510254,73930500
12-01-15,5202.749023,5220.249023,5183.213867,5187.933105,5187.779297,47662000
13-01-15,5199.935059,5217.221191,5197.085938,5214.358887,5214.204102,72921400
14-01-15,5217.204102,5225.022949,5159.667969,5159.667969,5159.515137,6397239800
15-01-15,5180.434082,5193.955078,5168.007813,5188.711914,5188.558105,54180100
16-01-15,5182.01123,5204.493164,5148.378906,5148.378906,5148.226074,46196100
19-01-15,5152.15918,5171.684082,5132.706055,5152.092773,5151.939941,44823900
20-01-15,5154.370117,5166.089844,5121.814941,5166.089844,5165.936523,47230800
21-01-15,5176.351074,5215.266113,5164.304199,5215.266113,5215.111328,39723300
22-01-15,5215.640137,5267.571777,5215.025879,5253.183105,5253.026855,60342700
23-01-15,5281.183105,5325.039063,5281.183105,5323.884766,5323.726563,61824800
26-01-15,5302.63916,5309.523926,5208.421875,5260.023926,5259.867676,47668400
27-01-15,5254.457031,5277.148926,5243.75293,5277.148926,5276.992676,40300400
28-01-15,5272.221191,5279.914063,5263.544922,5268.852051,5268.695801,45228300
29-01-15,5263.535156,5266.98877,5253.452148,5262.717773,5262.561523,39427200
30-01-15,5290.387207,5298.459961,5281.581055,5289.403809,5289.246582,39480500
02-02-15,5277.153809,5291.414063,5257.207031,5276.23584,5276.07959,33697000
03-02-15,5287.623047,5310.112793,5282.057129,5291.717773,5291.560547,45254600
04-02-15,5315.448242,5348.84082,5298.120117,5315.28418,5315.126465,53583900
05-02-15,5309.12793,5314.286133,5254.036133,5279.89502,5279.738281,40395900
06-02-15,5297.351074,5342.515137,5296.597168,5342.515137,5342.356445,47310400
09-02-15,5341.758789,5375.087891,5333.22998,5348.470215,5348.311523,41689400
10-02-15,5353.807129,5362.573242,5310.083008,5321.474121,5321.315918,43593200
11-02-15,5336.657227,5345.081055,5327.893066,5336.519043,5336.36084,47042000
12-02-15,5342.057129,5346.140137,5320.244141,5343.411133,5343.252441,42684700
13-02-15,5363.98291,5380.836914,5352.952148,5374.165039,5374.005371,36806200
16-02-15,5377.972168,5384.023926,5320.398926,5325.495117,5325.336914,35327900
17-02-15,5325.684082,5342.924805,5319.464844,5337.500977,5337.342773,34670400
18-02-15,5372.753906,5415.382813,5372.753906,5390.449219,5390.289551,51676100
20-02-15,5399.432129,5427.313965,5398.348145,5400.104004,5399.943359,42104400
23-02-15,5409.943848,5418.584961,5387.378906,5403.276855,5403.116211,39458000
24-02-15,5399.658203,5422.439941,5397.783203,5417.313965,5417.15332,41829200
25-02-15,5426.228027,5448.694824,5425.89502,5445.10791,5444.946289,49451900
26-02-15,5429.484863,5459.067871,5429.484863,5451.421875,5451.260254,42517100
27-02-15,5455.225098,5464.219238,5441.13916,5450.293945,5450.132324,44392400
02-03-15,5452.831055,5477.831055,5451.567871,5477.831055,5477.668457,42848700
03-03-15,5479.621094,5499.765137,5472.573242,5474.619141,5474.456543,43155600
04-03-15,5477.824219,5484.855957,5435.435059,5448.059082,5447.897461,39650100
05-03-15,5457.896973,5476.625977,5450.946777,5450.946777,5450.785156,41358800
06-03-15,5467.147949,5514.787109,5460.88916,5514.787109,5514.623535,43788200
09-03-15,5483.85791,5485.00293,5424.954102,5444.633789,5444.472168,41992900
10-03-15,5437.128906,5471.282227,5407.566895,5462.928223,5462.766113,48243400
11-03-15,5438.328125,5439.262207,5405.941895,5419.565918,5419.405273,53837200
12-03-15,5418.191895,5449.603027,5417.599121,5439.832031,5439.67041,45223300
13-03-15,5457.936035,5462.587891,5420.799805,5426.46582,5426.305176,42344300
16-03-15,5415.467773,5449.942871,5415.467773,5435.270996,5435.109375,36520500
17-03-15,5452.833008,5464.016113,5431.796875,5439.152832,5438.991211,50622800
18-03-15,5425.809082,5435.040039,5412.956055,5413.150879,5412.990234,43007100
19-03-15,5445.066895,5461.296875,5444.104004,5453.854004,5453.692383,48809800
20-03-15,5433.150879,5453.692871,5423.277832,5443.064941,5442.90332,53282300
23-03-15,5455.878906,5467.940918,5437.098145,5437.098145,5436.936523,55475400
24-03-15,5440.587891,5457.945801,5434.463867,5447.647949,5447.486328,40017200
25-03-15,5437.742188,5440.450195,5396.412109,5405.48877,5405.328125,51711500
26-03-15,5381.02002,5413.287109,5368.670898,5368.799805,5368.640137,48225500
27-03-15,5352.744141,5397.84082,5350.470215,5396.854004,5396.693848,33640800
30-03-15,5415.279785,5459.746094,5411.969238,5438.655762,5438.494141,46861300
31-03-15,5490.975098,5518.674805,5484.045898,5518.674805,5518.510742,47535700
01-04-15,5516.797852,5524.036133,5454.533203,5466.867188,5466.705078,45716700
02-04-15,5480.164063,5489.640137,5436.954102,5456.398926,5456.237305,48074400
06-04-15,5467.696777,5489.603027,5465.606934,5480.030762,5479.868164,36173400
07-04-15,5502.316895,5523.290039,5493.84082,5523.290039,5523.125977,47767100
08-04-15,5513.979004,5518.800781,5476.891113,5486.583984,5486.420898,43099300
09-04-15,5494.545898,5500.899902,5478.513184,5500.899902,5500.736816,42564500
10-04-15,5504.242188,5509.000977,5471.398926,5491.339844,5491.176758,45254000
13-04-15,5479.733887,5486.882813,5430.918945,5447.40918,5447.247559,39271600
14-04-15,5438.528809,5448.448242,5397.728027,5419.106934,5418.946289,40873000
15-04-15,5426.22998,5430.069824,5394.306152,5414.546875,5414.38623,41511500
16-04-15,5420.890137,5428.222168,5401.679199,5420.73291,5420.572266,54273800
17-04-15,5418.012207,5428.930176,5410.644043,5410.644043,5410.483398,38333800
20-04-15,5406.763184,5407.062012,5383.25293,5400.803223,5400.642578,40809000
21-04-15,5406.621094,5460.573242,5405.00293,5460.573242,5460.411133,45083200
22-04-15,5452.460938,5458.202148,5426.205078,5437.119141,5436.95752,43405200
23-04-15,5441.710938,5464.335938,5430.282227,5436.208984,5436.047363,41195200
24-04-15,5451.775879,5464.34082,5424.76416,5435.35498,5435.193359,32195600
27-04-15,5398.562012,5403.594238,5224.025879,5245.445801,5245.290039,50962900
28-04-15,5211.138184,5242.157227,5164.741211,5242.157227,5242.001953,37156900
29-04-15,5229.560059,5237.210938,5015.007813,5105.562988,5105.411133,48559700
30-04-15,5087.924805,5141.49707,5030.255859,5086.424805,5086.273926,39908600
04-05-15,5093.333984,5171.086914,5089.417969,5141.137207,5140.984375,38506600
05-05-15,5153.759766,5202.082031,5130.638184,5160.308105,5160.155273,40033500
06-05-15,5133.73584,5184.950195,5121.145996,5184.950195,5184.796387,32612300
07-05-15,5155.328125,5183.491211,5137.815918,5150.48584,5150.333008,49827400
08-05-15,5175.78418,5200.524902,5175.753906,5182.212891,5182.059082,45731600
11-05-15,5200.810059,5215.280762,5172.481934,5172.481934,5172.328125,38003700
12-05-15,5175.954102,5217.109863,5173.525879,5205.611816,5205.457031,42992700
13-05-15,5217.14502,5254.86377,5199.208984,5246.132813,5245.977051,48525900
15-05-15,5252.426758,5264.928223,5214.077148,5227.096191,5226.940918,40639600
18-05-15,5222.435059,5239.871094,5218.353027,5237.811035,5237.655762,40150100
19-05-15,5236.903809,5273.487793,5219.567871,5269.371094,5269.214844,36060800
20-05-15,5288.209961,5312.903809,5278.101074,5292.749023,5292.591797,40032200
21-05-15,5309.98584,5335.440918,5275.986816,5313.208008,5313.050293,41387500
22-05-15,5319.964844,5329.021973,5298.856934,5315.152832,5314.995117,32871300
25-05-15,5309.833984,5311.293945,5285.421875,5288.361816,5288.20459,33194400
